Date,Actual Price,Predictions,Volume,Signal,Position,Volume Adjusted Return,Volume Multiplier,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2023-12-10,43779.69921875,43775.07322945752,-0.2263127139969616,0,1.0,0.0012284421841561866,1.0,1.489221167408447,1.1494785925587,0.0012284421841561866
2023-12-11,41243.83203125,41279.59419762106,1.2103490777548285,1,0.0,-0.0,0.4,1.4029604767058454,1.1494785925587,-0.0
2023-12-12,41450.22265625,41453.11045293471,0.3861068764976315,1,1.0,0.005004157345118276,1.0,1.4099811116802636,1.155230764300709,0.005004157345118276
2023-12-13,42890.7421875,42870.25675023716,0.4910463385618231,0,1.0,0.03475299863154757,1.0,1.4589821833249959,1.195378497471573,0.03475299863154757
2023-12-14,43023.97265625,43026.62212612547,0.4276492652318491,1,0.0,0.0,1.0,1.4635141841780597,1.195378497471573,0.0
2023-12-15,41929.7578125,41954.66041553975,0.1188622958316066,1,1.0,-0.025432678020983368,1.0,1.426293099152717,1.1649768210321716,-0.025432678020983368
2023-12-16,42240.1171875,42256.87498132976,-0.1542384506862316,0,1.0,0.007401888090740938,1.0,1.4368503610572414,1.1735998490897588,0.007401888090740938
2023-12-17,41364.6640625,41391.68193471636,-0.0350734343111384,1,0.0,-0.0,1.0,1.4070707292167033,1.1735998490897588,-0.0
2023-12-18,42623.5390625,42613.31854518544,0.4092497970397046,0,1.0,0.030433584522719714,1.0,1.4498929351837646,1.209316699292883,0.030433584522719714
2023-12-19,42270.52734375,42281.11916390207,0.302476244155671,1,0.0,-0.0,1.0,1.4378848005166223,1.209316699292883,-0.0
2023-12-20,43652.25,43642.9713836789,0.5467313387733002,0,1.0,0.032687613405284255,1.0,1.484885822997244,1.2488463760439232,0.032687613405284255
2023-12-21,43869.15234375,43866.0039890727,0.2651335319148936,0,0.0,0.0,1.0,1.4922640272183147,1.2488463760439232,0.0
2023-12-22,43997.90234375,43993.79663503068,0.1910827918153497,0,0.0,0.0,1.0,1.4966436193289365,1.2488463760439232,0.0
2023-12-23,43739.54296875,43734.3568659499,-0.1999362211579292,0,0.0,-0.0,1.0,1.487855202393362,1.2488463760439232,-0.0
2023-12-24,43016.1171875,43022.80090816958,0.0768063097171037,1,0.0,-0.0,1.0,1.4632469705938824,1.2488463760439232,-0.0
2023-12-25,43613.140625,43599.59141171977,0.1956213137188843,0,1.0,0.013879063861056418,1.0,1.4835554687432522,1.2661791946496856,0.013879063861056418
2023-12-26,42520.40234375,42532.57122581042,0.6589277991869468,1,0.0,-0.0,1.0,1.4463846108361684,1.2661791946496856,-0.0
2023-12-27,43442.85546875,43425.80877228181,0.4111370676356499,0,1.0,0.021694364920222586,1.0,1.4777630063986424,1.2936481481528095,0.021694364920222586
2023-12-28,42627.85546875,42637.97342485483,0.2931743876737824,1,0.0,-0.0,1.0,1.4500397631352884,1.2936481481528095,-0.0
2023-12-29,42099.40234375,42109.35959196114,0.4495635552309767,1,1.0,-0.012396896798793966,1.0,1.4320637698375525,1.2776109255662083,-0.012396896798793966
2023-12-30,42156.90234375,42157.48664624652,-0.0696367315154668,0,1.0,0.0013658151137276864,1.0,1.4340197041782183,1.2793559058778101,0.0013658151137276864
2023-12-31,42265.1875,42270.487211093845,-0.0496938870600073,1,0.0,0.0,1.0,1.437703159059849,1.2793559058778101,0.0
2024-01-01,44167.33203125,44141.02844752572,0.0558234744103929,0,1.0,0.0450049945064126,1.0,1.5024069818351895,1.3369333113935875,0.0450049945064126
2024-01-02,44957.96875,44950.33096579043,1.1428943672155734,0,0.0,0.0,0.4,1.5293014776472709,1.3369333113935875,0.0
2024-01-03,42848.17578125,42881.46405965975,1.5072071033698218,1,0.0,-0.0,0.4,1.4575342338338102,1.3369333113935875,-0.0
2024-01-04,44179.921875,44164.801502544666,0.6808290573621995,0,1.0,0.03108057856532498,1.0,1.5028352411001327,1.378485972214956,0.03108057856532498
2024-01-05,44162.69140625,44162.772153781305,0.7789873475940202,1,0.0,-0.0,1.0,1.502249125177804,1.378485972214956,-0.0
2024-01-06,43989.1953125,43985.975891524315,-0.0655513035254439,0,1.0,-0.003928567037593367,1.0,1.496347438782377,1.3730704976627275,-0.003928567037593367
2024-01-07,43943.09765625,43937.40273874962,0.1028034997355045,0,0.0,-0.0,1.0,1.4947793694104883,1.3730704976627275,-0.0
2024-01-08,46970.50390625,46926.88472850049,1.3202358919715154,0,0.0,0.0,0.4,1.597760375454352,1.3730704976627275,0.0
2024-01-09,46139.73046875,46142.38835197016,1.1681634919874773,1,0.0,-0.0,0.4,1.5695005790070569,1.3730704976627275,-0.0
2024-01-10,46627.77734375,46612.62137338666,1.7033372344743705,0,1.0,0.004231033601989065,0.4,1.5861021032273572,1.3788800050762384,0.010577584004972662
2024-01-11,46368.5859375,46369.642596632024,1.480764401998358,1,0.0,-0.0,0.4,1.577285383709272,1.3788800050762384,-0.0
2024-01-12,42853.16796875,42908.01530902778,1.3507297476294515,1,1.0,-0.030325858748320833,0.4,1.457704049328876,1.3370642848114125,-0.07581464687080208
2024-01-13,42842.3828125,42836.3617898614,0.1689006441249207,0,1.0,-0.0002516769882185965,1.0,1.4573371787640268,1.3367277764991565,-0.0002516769882185965
2024-01-14,41796.26953125,41812.9437323893,0.0087418820294715,1,0.0,-0.0,1.0,1.4217523284853528,1.3367277764991565,-0.0
2024-01-15,42511.96875,42501.011340159064,0.2582421776387593,0,1.0,0.01712351907901466,1.0,1.4460977316078052,1.3596172600834886,0.01712351907901466
2024-01-16,43154.9453125,43143.07038607341,0.348846713508608,0,0.0,0.0,1.0,1.467969382718017,1.3596172600834886,0.0
2024-01-17,42742.65234375,42755.80309237496,0.1818660803539544,1,0.0,-0.0,1.0,1.4539447222659596,1.3596172600834886,-0.0
2024-01-18,41262.05859375,41287.21472248253,0.4089230374531605,1,1.0,-0.034639725632667706,1.0,1.4035804760016015,1.3125204912287571,-0.034639725632667706
2024-01-19,41618.40625,41619.70140681135,0.4366895332048029,1,1.0,0.00863620644230223,1.0,1.4157020867507362,1.3238556891507607,0.00863620644230223
2024-01-20,41665.5859375,41668.821585215024,-0.2998189676609328,0,1.0,0.0011336255217606617,1.0,1.4173069627674866,1.32535644574711,0.0011336255217606617
2024-01-21,41545.78515625,41555.21706255102,-0.4164194094427783,0,0.0,-0.0,1.0,1.4132317895138258,1.32535644574711,-0.0
2024-01-22,39507.3671875,39539.46845623999,0.727134300993595,1,0.0,-0.0,1.0,1.3438924555014962,1.32535644574711,-0.0
2024-01-23,39845.55078125,39845.92036569473,0.6182543118290289,1,1.0,0.008560013431039293,1.0,1.3553961929704614,1.3367015147236199,0.008560013431039293
2024-01-24,40077.07421875,40068.44491731255,0.2602857681463553,0,1.0,0.005810521700930993,1.0,1.3632717519630755,1.3444684478825888,0.005810521700930993
2024-01-25,39933.80859375,39927.62317707616,0.0591927625811515,0,0.0,-0.0,1.0,1.3583983927322147,1.3444684478825888,-0.0
2024-01-26,41816.87109375,41783.76778931089,0.4286677800300004,0,0.0,0.0,1.0,1.4224531163734415,1.3444684478825888,0.0
2024-01-27,42120.0546875,42116.421672223136,-0.3083326570702493,0,0.0,0.0,1.0,1.4327662851133054,1.3444684478825888,0.0
2024-01-28,42035.59375,42033.63337399721,-0.0257008399855632,0,0.0,-0.0,1.0,1.4298932407985037,1.3444684478825888,-0.0
2024-01-29,43288.24609375,43265.37476057188,0.172364170409594,0,0.0,0.0,1.0,1.4725037753386168,1.3444684478825888,0.0
2024-01-30,42952.609375,42955.311198724026,0.337405375257293,1,0.0,-0.0,1.0,1.4610866730048495,1.3444684478825888,-0.0
2024-01-31,42582.60546875,42583.60702789696,0.3806013397520713,1,1.0,-0.00861423582021903,1.0,1.4485005278498064,1.3328868796196842,-0.00861423582021903
2024-02-01,43075.7734375,43064.79986221099,0.2116431853868107,0,1.0,0.011581441842771323,1.0,1.4652762524723226,1.3483236314989926,0.011581441842771323
2024-02-02,43185.859375,43181.040368291,0.0650190756886682,0,0.0,0.0,1.0,1.4690209631780735,1.3483236314989926,0.0
2024-02-03,42992.25,42986.48891862419,-0.3215229378453967,0,0.0,-0.0,1.0,1.4624350983913361,1.3483236314989926,-0.0
2024-02-04,42583.58203125,42583.07029584583,-0.1326358534702342,0,0.0,-0.0,1.0,1.4485337468433643,1.3483236314989926,-0.0
2024-02-05,42658.66796875,42659.479398666444,0.0708237210993806,1,0.0,0.0,1.0,1.451087888820014,1.3483236314989926,0.0
2024-02-06,43084.671875,43080.67754175789,-0.028846113563667,0,1.0,0.009986338686479135,1.0,1.4655789439416187,1.361788447942125,0.009986338686479135
2024-02-07,44318.22265625,44301.845817037276,0.1961824359302152,0,0.0,0.0,1.0,1.5075397149677467,1.361788447942125,0.0
2024-02-08,45301.56640625,45291.73786480659,0.4575965264774515,0,0.0,0.0,1.0,1.5409893812165183,1.361788447942125,0.0
2024-02-09,47147.19921875,47125.70676014431,1.1419323172764888,0,0.0,0.0,0.4,1.603770887272673,1.361788447942125,0.0
2024-02-10,47771.27734375,47766.639510594236,-0.0496323926195491,0,0.0,0.0,1.0,1.6249996844195602,1.361788447942125,0.0
2024-02-11,48293.91796875,48289.17948798303,0.1020388628287465,0,0.0,0.0,1.0,1.6427779582676418,1.361788447942125,0.0
2024-02-12,49958.22265625,49931.914831489616,0.8921203795245939,0,0.0,0.0,0.4,1.6993913616000382,1.361788447942125,0.0
2024-02-13,49742.44140625,49742.17308504201,0.9483274951226882,0,0.0,-0.0,0.4,1.6920512927835711,1.361788447942125,-0.0
2024-02-14,51826.6953125,51787.890185637734,1.1309534729947843,0,0.0,0.0,0.4,1.7629497934775158,1.361788447942125,0.0
2024-02-15,51938.5546875,51928.91086370578,1.1028127570360715,0,0.0,0.0,0.4,1.7667548298755673,1.361788447942125,0.0
2024-02-16,52160.203125,52152.44052681961,0.5629352207477375,0,0.0,0.0,1.0,1.7742944784053276,1.361788447942125,0.0
2024-02-17,51662.99609375,51663.5961409084,0.1380811824861125,1,0.0,-0.0,1.0,1.7573813600254578,1.361788447942125,-0.0
2024-02-18,52122.546875,52119.22190690006,0.0125865993919787,0,1.0,0.008895163192163213,1.0,1.77301355401375,1.373901778419773,0.008895163192163213
2024-02-19,51779.14453125,51785.29523150617,0.2084316490482824,1,0.0,-0.0,1.0,1.7613322942432135,1.373901778419773,-0.0
2024-02-20,52284.875,52285.33918175059,0.8319014381932379,1,1.0,0.003906827533195579,0.4,1.7785353479988533,1.3792693757156096,0.009767068832988945
2024-02-21,51839.1796875,51855.985186540376,0.5860374752860718,1,1.0,-0.008524364120598982,1.0,1.763374465091155,1.3675119813366186,-0.008524364120598982
2024-02-22,51304.97265625,51329.585420025265,0.4190897915384984,1,1.0,-0.010305082651198116,1.0,1.7452027454833783,1.353419657342441,-0.010305082651198116
2024-02-23,50731.94921875,50753.55949882722,0.211805634933432,1,1.0,-0.011168964874795462,1.0,1.7257106373196778,1.3383033607287256,-0.011168964874795462
2024-02-24,51571.1015625,51575.73270908285,-0.1133023837937021,0,1.0,0.016540904827679226,1.0,1.7542554527316963,1.3604401092491027,0.016540904827679226
2024-02-25,51733.23828125,51743.55804349491,-0.1008678287010388,0,0.0,0.0,1.0,1.7597707357940624,1.3604401092491027,0.0
2024-02-26,54522.40234375,54492.219684767726,0.8693698953240121,0,0.0,0.0,0.4,1.8546476361696365,1.3604401092491027,0.0
2024-02-27,57085.37109375,57052.12255073458,1.6847353551238635,0,0.0,0.0,0.4,1.9418302203814461,1.3604401092491027,0.0
2024-02-28,62504.7890625,62423.4223838249,3.4255592115706244,0,0.0,0.0,0.4,2.1261784936249417,1.3604401092491027,0.0
2024-02-29,61198.3828125,61207.002956069846,2.5030830778540434,1,0.0,-0.0,0.4,2.081739452803449,1.3604401092491027,-0.0
2024-03-01,62440.6328125,62419.7516106392,1.1871447158564592,0,1.0,0.008119495600437787,0.4,2.1239961386241877,1.3714861967308098,0.020298739001094468
2024-03-02,62029.84765625,62026.10066092557,0.3397793014354309,0,0.0,-0.0,1.0,2.110022768298183,1.3714861967308098,-0.0
2024-03-03,63167.37109375,63141.73482447467,0.4627587075308523,0,0.0,0.0,1.0,2.1487170492498144,1.3714861967308098,0.0
2024-03-04,68330.4140625,68226.1827731691,2.772084041925268,0,0.0,0.0,0.4,2.324344406552645,1.3714861967308098,0.0
2024-03-05,63801.19921875,63852.751329498555,4.442725802866181,1,0.0,-0.0,0.4,2.17027750482838,1.3714861967308098,-0.0
2024-03-06,66106.8046875,66064.73447025841,2.6722461971366083,0,1.0,0.014454934997976832,0.4,2.2487055554780437,1.391310940555176,0.03613733749494208
2024-03-07,66925.484375,66910.8512356215,1.5408575770708723,0,0.0,0.0,0.4,2.2765539679091225,1.391310940555176,0.0
2024-03-08,68300.09375,68280.32954438707,2.175857397183825,0,0.0,0.0,0.4,2.3233130232406713,1.391310940555176,0.0
2024-03-09,68498.8828125,68492.6161893468,0.2212979830735754,0,0.0,0.0,1.0,2.330075081569238,1.391310940555176,0.0
2024-03-10,69019.7890625,69041.73098354579,0.9530549524502526,1,0.0,0.0,0.4,2.3477943584847614,1.391310940555176,0.0
2024-03-11,72123.90625,72098.93810741609,2.5145237245554646,0,1.0,0.017989722829718335,0.4,2.4533847829105544,1.4163402387457185,0.04497430707429584
2024-03-12,71481.2890625,71507.6358829087,2.350112442840766,1,0.0,-0.0,0.4,2.4315253563899715,1.4163402387457185,-0.0
2024-03-13,73083.5,73073.4616007732,1.6044438647116992,0,1.0,0.008965764095827123,0.4,2.4860265632360075,1.4290388112057402,0.022414410239567806
2024-03-14,71396.59375,71443.37011154453,2.196224065434476,1,0.0,-0.0,0.4,2.428644339516716,1.4290388112057402,-0.0
2024-03-15,69403.7734375,69450.10051528398,3.169824425576449,1,1.0,-0.011164792087857834,0.4,2.3608560667515737,1.4130838899931486,-0.027911980219644583
2024-03-16,65315.1171875,65377.29629982929,1.533196779197679,1,1.0,-0.023564460821035606,0.4,2.2217753160288947,1.3797853300305685,-0.05891115205258901
2024-03-17,68390.625,68353.87616129107,1.4226957237205915,0,1.0,0.01883489118558046,0.4,2.326392556819427,1.4057734365811545,0.04708722796395115
2024-03-18,67548.59375,67556.21599597717,1.6589860249374118,1,0.0,-0.0,0.4,2.2977498118144006,1.4057734365811545,-0.0
2024-03-19,61912.7734375,62000.98262299286,2.9564162574384945,1,1.0,-0.03337342792572939,0.4,2.106040342474535,1.3588579581155085,-0.08343356981432348
2024-03-20,67913.671875,67836.15493925088,2.570466300820308,0,1.0,0.03877001855559135,0.4,2.310168400365939,1.4115409063660596,0.09692504638897836
2024-03-21,65491.390625,65546.07917879862,1.4103988241793377,1,0.0,-0.0,0.4,2.2277714772419985,1.4115409063660596,-0.0
2024-03-22,63778.76171875,63807.21055115851,1.2503023148843764,1,1.0,-0.010460177375413604,0.4,2.169514265232402,1.3967759381128184,-0.02615044343853401
2024-03-23,64062.203125,64070.18391090135,0.383998311183447,1,1.0,0.004444134671348854,1.0,2.1791558787985075,1.4029833984874913,0.004444134671348854
2024-03-24,67234.171875,67226.93868955635,0.5122979927419186,0,1.0,0.04951388799118828,1.0,2.2870543588966763,1.4724505613336976,0.04951388799118828
