Date,Actual Price,Predictions,Volume,Signal,Stop Loss,Take Profit,Market Return,Strategy Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2023-09-13,26228.32421875,26218.006895141247,-0.2225902897021064,0,26097.18259765625,34096.821484375,0.01528956036711282,-0.01528956036711282,0.8921892180448232,0.9711679204737343,-0.01528956036711282
2023-09-14,26539.673828125,26532.40972380835,-0.1841532980456851,0,26406.975458984376,34501.575976562504,0.011870739692642074,0.0,0.9027801640088152,0.9711679204737343,0.0
2023-09-15,26608.693359375,26604.36570173495,-0.3053798126443328,0,26475.649892578123,34591.3013671875,0.0026006171627044328,0.0,0.9051279495974857,0.9711679204737343,0.0
2023-09-16,26568.28125,26567.601301828963,-0.5173891371469939,0,26435.43984375,34538.765625,-0.001518755875352329,-0.0,0.9037532812060889,0.9711679204737343,-0.0
2023-09-17,26534.1875,26530.82708427964,-0.5500309964801128,0,26401.5165625,34494.44375,-0.0012832501161511578,-0.0,0.9025935397030092,0.9711679204737343,-0.0
2023-09-18,26754.28125,26748.40864825231,-0.0903601588192952,0,26620.50984375,34780.565625,0.008294723552398242,0.0,0.9100803035950262,0.9711679204737343,0.0
2023-09-19,27211.1171875,27203.37186252649,-0.1843440357316143,0,27075.0616015625,35374.45234375,0.017075246134672373,0.0,0.9256201487812287,0.9711679204737343,0.0
2023-09-20,27132.0078125,27132.599022779345,-0.2117218386410447,0,26996.3477734375,35271.610156250004,-0.00290724465500225,-0.0,0.9229291445511221,0.9711679204737343,-0.0
2023-09-21,26567.6328125,26572.793075197733,-0.2070255226355209,0,26434.7946484375,34537.922656250004,-0.02080107760178318,-0.0,0.9037312237943668,0.9711679204737343,-0.0
2023-09-22,26579.568359375,26577.98096381729,-0.3522243282452076,0,26446.670517578124,34553.4388671875,0.0004492514240630463,0.0,0.9041372263336266,0.9711679204737343,0.0
2023-09-23,26579.390625,26577.8460376085,-0.5172503756668728,0,26446.493671875,34553.207812500004,-6.686879658768241e-06,-0.0,0.9041311804767991,0.9711679204737343,-0.0
2023-09-24,26256.826171875,26258.901597354277,-0.4762717220701923,0,26125.542041015626,34133.8740234375,-0.01213588594546644,-0.0,0.8931587475907927,0.9711679204737343,-0.0
2023-09-25,26298.48046875,26298.86904931596,-0.2784427214686203,0,26166.98806640625,34188.024609375,0.0015864178176880905,0.0,0.8945756705419947,0.9711679204737343,0.0
2023-09-26,26217.25,26220.04880104738,-0.3830686986262855,0,26086.16375,34082.425,-0.0030887894396227633,-0.0,0.8918125146578811,0.9711679204737343,-0.0
2023-09-27,26352.716796875,26350.72330440842,-0.2929720937533533,0,26220.953212890625,34258.5318359375,0.005167086436411061,0.0,0.8964205870061915,0.9711679204737343,0.0
2023-09-28,27021.546875,27011.507683614815,-0.1702378863147983,0,26886.439140625,35128.0109375,0.02537992888096885,0.0,0.919171677751845,0.9711679204737343,0.0
2023-09-29,26911.720703125,26914.37047122591,-0.3617031179832242,0,26777.162099609373,34985.2369140625,-0.004064392478456136,-0.0,0.9154358032983806,0.9711679204737343,-0.0
2023-09-30,26967.916015625,26969.039250599682,-0.6250578880846708,0,26833.076435546875,35058.290820312504,0.0020881352448591795,0.0,0.9173473570636539,0.9711679204737343,0.0
2023-10-01,27983.75,27970.184665922432,-0.4081071995413805,0,27843.83125,36378.875,0.037668241913332734,0.0,0.951902219228084,0.9711679204737343,0.0
2023-10-02,27530.78515625,27535.11681637469,0.1268482574389688,1,27393.13123046875,35790.020703125,-0.016186709920936293,-0.0,0.9364940541323435,0.9711679204737343,-0.0
2023-10-03,27429.978515625,27427.09341892699,-0.3091191837850172,0,27292.828623046877,35658.9720703125,-0.003661597010505724,-0.003661597010505724,0.9330649903033762,0.9676118949194287,-0.003661597010505724
2023-10-04,27799.39453125,27791.588794026706,-0.3228690150435582,0,27660.39755859375,36139.212890625,0.013467601347721292,0.0,0.9456311376242975,0.9676118949194287,0.0
2023-10-05,27415.912109375,27419.92714245495,-0.284711934354794,0,27278.832548828126,35640.6857421875,-0.01379463216164356,-0.0,0.9325865039201738,0.9676118949194287,-0.0
2023-10-06,27946.59765625,27934.186734736537,-0.2007371607686593,0,27806.864667968748,36330.576953125004,0.01935684447622399,0.0,0.9506384358371821,0.9676118949194287,0.0
2023-10-07,27968.83984375,27966.5861377992,-0.5615299490887732,0,27828.99564453125,36359.491796875,0.0007958817661306572,0.0,0.9513950316344479,0.9676118949194287,0.0
2023-10-08,27935.08984375,27936.48321176174,-0.4906212079868189,0,27795.41439453125,36315.616796875,-0.001206700034343422,-0.0,0.9502469832171004,0.9676118949194287,-0.0
2023-10-09,27583.677734375,27588.11425702898,-0.2779313607980889,0,27445.759345703125,35858.781054687504,-0.012579594744121514,-0.0,0.9382932612614053,0.9676118949194287,-0.0
2023-10-10,27391.01953125,27395.974886678705,-0.3837002744912632,0,27254.06443359375,35608.325390625,-0.006984500217130485,-0.0,0.9317397517743929,0.9676118949194287,-0.0
2023-10-11,26873.3203125,26881.48517727424,-0.1926418138638364,0,26738.9537109375,34935.31640625,-0.018900326735168282,-0.0,0.9141295660337123,0.9676118949194287,-0.0
2023-10-12,26756.798828125,26759.13387274001,-0.4138787706074595,0,26623.014833984376,34783.8384765625,-0.0043359541366684295,-0.0,0.9101659421604176,0.9676118949194287,-0.0
2023-10-13,26862.375,26861.462512927224,-0.1137580979643376,0,26728.063125,34921.0875,0.003945769916393171,0.0,0.9137572475539198,0.9676118949194287,0.0
2023-10-14,26861.70703125,26863.71879522155,-0.6220972382072149,0,26727.39849609375,34920.219140625,-2.4866332556272575e-05,-0.0,0.9137345257623265,0.9676118949194287,-0.0
2023-10-15,27159.65234375,27153.953728578737,-0.5331859355025835,0,27023.85408203125,35307.548046875,0.011091823470242623,0.0,0.9238695078207481,0.9676118949194287,0.0
2023-10-16,28519.466796875,28500.746384350055,0.5449099626761525,-1,28376.869462890623,37075.3068359375,0.05006744695824206,0.0,0.9701252953999006,0.9676118949194287,0.0
2023-10-17,28415.748046875,28417.013131899934,-0.128980688212705,0,28273.669306640626,36940.472460937504,-0.0036367703063566736,0.0036367703063566736,0.9665971725321447,0.9711308771269491,0.0036367703063566736
2023-10-18,28328.341796875,28329.107972096157,-0.2406809398186754,0,28186.700087890626,36826.8443359375,-0.0030759792019486865,-0.0,0.9636239397327735,0.9711308771269491,-0.0
2023-10-19,28719.806640625,28714.846138875255,-0.1510498340196556,0,28576.207607421875,37335.7486328125,0.013818840741083749,0.0,0.9769401054902364,0.9711308771269491,0.0
2023-10-20,29682.94921875,29668.29027159479,0.2174752397466419,-1,29534.53447265625,38587.833984375,0.033535830870205396,0.0,1.0097026036382775,0.9711308771269491,0.0
2023-10-21,29918.412109375,29909.572479176346,-0.3021869012558646,0,29768.820048828125,38893.9357421875,0.007932597562652743,-0.007932597562652743,1.0177121680509027,0.963427286698035,-0.007932597562652743
2023-10-22,29993.896484375,29990.144416689123,-0.359099099985723,0,29843.927001953125,38992.0654296875,0.002523007395046406,0.0,1.020279863376924,0.963427286698035,0.0
2023-10-23,33086.234375,33038.92363653074,1.092373310857223,-1,32920.803203125,43012.1046875,0.10309890521346299,0.0,1.1254696003024263,0.963427286698035,0.0
2023-10-24,33901.52734375,33883.65869729958,1.4340370861931475,-1,33732.01970703125,44071.985546875,0.02464145540134477,-0.02464145540134477,1.1532028092638478,0.9396870361804268,-0.02464145540134477
2023-10-25,34502.8203125,34487.6357589844,0.4107927212297675,-1,34330.3062109375,44853.66640625,0.017736456610143003,-0.017736456610143003,1.173656540853051,0.9230203178360988,-0.017736456610143003
2023-10-26,34156.6484375,34160.486355796886,0.1078270766895473,1,33985.8651953125,44403.64296875,-0.010033147199696724,0.010033147199696724,1.1618810720167856,0.9322811165532594,0.010033147199696724
2023-10-27,33909.80078125,33918.72566199814,-0.0486262735191956,0,33740.25177734375,44082.741015625004,-0.007226928505637331,-0.007226928505637331,1.153484240577267,0.9255435875767732,-0.007226928505637331
2023-10-28,34089.57421875,34084.628534751304,-0.3739787422137389,0,33919.12634765625,44316.446484375,0.005301518539129857,0.0,1.1595994586632814,0.9255435875767732,0.0
2023-10-29,34538.48046875,34533.38991189195,-0.3219867743607828,0,34365.78806640625,44900.024609375,0.013168432293093613,0.0,1.174869565621797,0.9255435875767732,0.0
2023-10-30,34502.36328125,34507.42892508697,-0.0087571330369314,1,34329.85146484375,44853.072265625,-0.0010457086417764438,-0.0,1.173640994364066,0.9255435875767732,-0.0
2023-10-31,34667.78125,34674.47117507273,-0.0829288359805324,0,34494.44234375,45068.115625,0.004794395311462418,0.004794395311462418,1.179267893244785,0.9299810094136054,0.004794395311462418
2023-11-01,35437.25390625,35434.56003924688,0.2647958852398082,-1,35260.06763671875,46068.430078125,0.022195613001625203,0.0,1.2054424670284882,0.9299810094136054,0.0
2023-11-02,34938.2421875,34955.33511861619,0.1895051018143953,1,34763.5509765625,45419.71484375,-0.014081557224217889,0.014081557224217889,1.1884679599485242,0.943076590215099,0.014081557224217889
2023-11-03,34732.32421875,34746.763951296685,-0.0101299182756995,1,34558.66259765625,45152.021484375,-0.005893770145759425,-0.005893770145759425,1.181463402966988,0.9375183135625247,-0.005893770145759425
2023-11-04,35082.1953125,35092.188453570496,-0.405124044838721,0,34906.7843359375,45606.85390625,0.010073356782761111,0.010073356782761111,1.1933647053508494,0.9469622700254126,0.010073356782761111
2023-11-05,35049.35546875,35065.765260693646,-0.2568705481325926,0,34874.10869140625,45564.162109375,-0.0009360829177728069,-0.0,1.1922476170354974,0.9469622700254126,-0.0
2023-11-06,35037.37109375,35048.27479719965,-0.2422766968400673,0,34862.18423828125,45548.582421875,-0.0003419285416157436,-0.0,1.1918399535465596,0.9469622700254126,-0.0
2023-11-07,35443.5625,35448.4028325392,0.0770238302086007,1,35266.3446875,46076.63125,0.011593090279608864,0.0,1.2056570617268696,0.9469622700254126,0.0
2023-11-08,35655.27734375,35660.72865523996,-0.0030101822077194,1,35477.00095703125,46351.860546875,0.005973294692089626,0.005973294692089626,1.212858806654163,0.9526187547265645,0.005973294692089626
2023-11-09,36693.125,36682.8094509677,1.0611311274005186,-1,36509.659375,47701.0625,0.029107827327892632,0.029107827327892632,1.2481624913713663,0.9803474169484575,0.029107827327892632
2023-11-10,37313.96875,37307.81845596552,0.2785734948009336,-1,37127.39890625,48508.159375,0.01691989303173269,-0.01691989303173269,1.2692812672115907,0.9637600435197542,-0.01691989303173269
2023-11-11,37138.05078125,37142.31815215244,-0.178282687894546,0,36952.36052734375,48279.466015625,-0.0047145338500075296,0.0047145338500075296,1.2632971977121412,0.9683037228682129,0.0047145338500075296
2023-11-12,37054.51953125,37057.06092811423,-0.301949348174143,0,36869.24693359375,48170.875390625,-0.002249209321512735,-0.0,1.2604557778792063,0.9683037228682129,-0.0
2023-11-13,36502.35546875,36511.71648867399,0.088616818577053,1,36319.84369140625,47453.062109375,-0.014901395821212304,-0.0,1.241673227417894,0.9683037228682129,-0.0
2023-11-14,35537.640625,35550.41070231922,0.3381638931355144,1,35359.952421875,46198.9328125,-0.026428838121854925,-0.026428838121854925,1.2088572466902254,0.9427125805237394,-0.026428838121854925
2023-11-15,37880.58203125,37845.963362361,0.5205747030127719,-1,37691.17912109375,49244.756640625004,0.06592844558740318,0.06592844558740318,1.28855532590158,1.0048641555933593,0.06592844558740318
2023-11-16,36154.76953125,36178.387918998706,0.4499464428703164,1,35973.99568359375,47001.200390625,-0.04555929205565723,0.04555929205565723,1.2298496574789575,1.0506450551342987,0.04555929205565723
2023-11-17,36596.68359375,36591.98159661732,0.2647312288862006,-1,36413.70017578125,47575.688671875,0.012222842746045792,0.012222842746045792,1.2448819164436011,1.063486924425116,0.012222842746045792
2023-11-18,36585.703125,36587.87577695632,-0.2842560112270106,0,36402.774609375,47561.4140625,-0.000300039994658885,0.000300039994658885,1.2445084020800405,1.0638060130362403,0.000300039994658885
2023-11-19,37386.546875,37381.98718069652,-0.2307057983460854,0,37199.614140625,48602.5109375,0.021889527372586093,0.0,1.2717501028127849,1.0638060130362403,0.0
2023-11-20,37476.95703125,37472.99993084516,0.183788573097414,-1,37289.57224609375,48720.044140625,0.0024182537251242753,0.0,1.2748255172363392,1.0638060130362403,0.0
2023-11-21,35813.8125,35845.885392518365,0.4065213307887606,1,35634.7434375,46557.95625,-0.04437779006078835,0.04437779006078835,1.218251578068289,1.1110153729481667,0.04437779006078835
2023-11-22,37432.33984375,37416.176036482975,0.3662316528940768,-1,37245.17814453125,48662.041796875004,0.045192824521265385,0.045192824521265385,1.273307807858684,1.1612252957382414,0.045192824521265385
2023-11-23,37289.62109375,37295.84088481228,-0.1631697633902319,0,37103.17298828125,48476.507421875,-0.003812712499291715,0.003812712499291715,1.2684530512642154,1.1656527139377963,0.003812712499291715
2023-11-24,37720.28125,37711.785475617275,0.2895798884630223,-1,37531.67984375,49036.365625,0.011549062275727495,0.0,1.2831024945471023,1.1656527139377963,0.0
2023-11-25,37796.79296875,37796.70231526294,-0.429130101536318,0,37607.80900390625,49135.830859375004,0.0020283973558654633,-0.0020283973558654633,1.2857051362543461,1.1632883070549875,-0.0020283973558654633
2023-11-26,37479.12109375,37489.93735500136,-0.1876140659816235,0,37291.72548828125,48722.857421875,-0.008404730932136117,-0.0,1.2748991305260629,1.1632883070549875,-0.0
2023-11-27,37254.16796875,37254.55283121447,0.0857683115139155,1,37067.89712890625,48430.418359375,-0.006002091789647501,-0.0,1.2672470689221036,1.1632883070549875,-0.0
2023-11-28,37831.0859375,37821.4785436749,0.2257946241727342,-1,37641.930507812496,49180.41171875,0.01548599794884531,0.01548599794884531,1.2868716544321115,1.1813029873919567,0.01548599794884531
2023-11-29,37858.4921875,37855.48660839068,0.1754873534373273,-1,37669.1997265625,49216.039843750004,0.0007244373065387055,-0.0007244373065387055,1.2878039122673093,1.1804472074375643,-0.0007244373065387055
2023-11-30,37712.74609375,37717.64983611766,0.0396540793600243,1,37524.18236328125,49026.569921875,-0.0038497596002547985,0.0038497596002547985,1.2828461767928125,1.184991645406991,0.0038497596002547985
2023-12-01,38688.75,38676.57088907171,0.3202463219281607,-1,38495.30625,50295.375,0.025879947957747618,0.025879947957747618,1.3160461690860061,1.2156591675204897,0.025879947957747618
2023-12-02,39476.33203125,39468.31502511904,-0.0945873449189923,0,39278.95037109375,51319.231640625,0.020356874575942596,-0.020356874575942596,1.3428367558862397,1.1909121463201804,-0.020356874575942596
2023-12-03,39978.390625,39971.10068379622,-0.0823347970652927,0,39778.498671875,51971.9078125,0.012717964611113297,0.0,1.3599149062261031,1.1909121463201804,0.0
2023-12-04,41980.09765625,41949.90816254869,1.169974843964668,-1,41770.19716796875,54574.126953125,0.05006972516793251,0.0,1.4280054718326187,1.1909121463201804,0.0
2023-12-05,44080.6484375,44052.978717410464,0.9857153343605468,-1,43860.2451953125,57304.84296875,0.05003682455553493,-0.05003682455553493,1.4994583310910514,1.131322684193702,-0.05003682455553493
2023-12-06,43746.4453125,43749.81997447294,0.6528400494400722,1,43527.7130859375,56870.37890625,-0.007581629055975703,0.007581629055975703,1.4880899942398267,1.1398999531278695,0.007581629055975703
2023-12-07,43292.6640625,43298.06757198821,0.5346094583907872,1,43076.2007421875,56280.46328125,-0.010372985662227885,-0.010372985662227885,1.4726540580654721,1.1280757872576999,-0.010372985662227885
2023-12-08,44166.6015625,44155.48793092872,0.3674726486673186,-1,43945.7685546875,57416.58203125,0.02018673414826888,0.02018673414826888,1.502382134028009,1.1508479532741702,0.02018673414826888
2023-12-09,43725.984375,43730.307917753045,0.0007756519767814,1,43507.354453125,56843.7796875,-0.009976252913108663,0.009976252913108663,1.4873939898868096,1.1623291035205667,0.009976252913108663
2023-12-10,43779.69921875,43775.07322945752,-0.2263127139969616,0,43560.80072265625,56913.608984375,0.0012284421841561866,0.0012284421841561866,1.489221167408447,1.1637569576232039,0.0012284421841561866
2023-12-11,41243.83203125,41279.59419762106,1.2103490777548285,1,41037.61287109375,53616.981640625,-0.05792335792051162,-0.0,1.4029604767058454,1.1637569576232039,-0.0
2023-12-12,41450.22265625,41453.11045293471,0.3861068764976315,1,41242.97154296875,53885.289453125,0.005004157345118276,0.005004157345118276,1.4099811116802636,1.1695805805506265,0.005004157345118276
2023-12-13,42890.7421875,42870.25675023716,0.4910463385618231,-1,42676.2884765625,55757.96484375,0.03475299863154757,0.03475299863154757,1.4589821833249959,1.210227012865987,0.03475299863154757
2023-12-14,43023.97265625,43026.62212612547,0.4276492652318491,1,42808.85279296875,55931.164453125,0.0031062756659134827,-0.0031062756659134827,1.4635141841780597,1.2064677141456903,-0.0031062756659134827
2023-12-15,41929.7578125,41954.66041553975,0.1188622958316066,1,41720.1090234375,54508.68515625,-0.025432678020983368,-0.025432678020983368,1.426293099152717,1.1757840092291112,-0.025432678020983368
2023-12-16,42240.1171875,42256.87498132976,-0.1542384506862316,0,42028.9166015625,54912.15234375,0.007401888090740938,0.007401888090740938,1.4368503610572414,1.1844870308843078,0.007401888090740938
2023-12-17,41364.6640625,41391.68193471636,-0.0350734343111384,0,41157.8407421875,53774.063281250004,-0.02072563201266564,-0.0,1.4070707292167033,1.1844870308843078,-0.0
2023-12-18,42623.5390625,42613.31854518544,0.4092497970397046,-1,42410.4213671875,55410.60078125,0.030433584522719714,0.0,1.4498929351837646,1.1844870308843078,0.0
2023-12-19,42270.52734375,42281.11916390207,0.302476244155671,1,42059.17470703125,54951.685546875,-0.008282083715112631,0.008282083715112631,1.4378848005166223,1.1942970516335567,0.008282083715112631
2023-12-20,43652.25,43642.9713836789,0.5467313387733002,-1,43433.98875,56747.925,0.032687613405284255,0.032687613405284255,1.484885822997244,1.2333357719484253,0.032687613405284255
2023-12-21,43869.15234375,43866.0039890727,0.2651335319148936,-1,43649.80658203125,57029.898046875,0.0049688697318006625,-0.0049688697318006625,1.4922640272183147,1.2272074871620438,-0.0049688697318006625
2023-12-22,43997.90234375,43993.79663503068,0.1910827918153497,-1,43777.91283203125,57197.273046875,0.002934864092908329,-0.002934864092908329,1.4966436193289365,1.2236057999734236,-0.002934864092908329
2023-12-23,43739.54296875,43734.3568659499,-0.1999362211579292,0,43520.84525390625,56861.405859375,-0.005872083923035065,0.005872083923035065,1.487855202393362,1.23079091591958,0.005872083923035065
2023-12-24,43016.1171875,43022.80090816958,0.0768063097171037,1,42801.0366015625,55920.95234375,-0.01653939964043194,-0.0,1.4632469705938824,1.23079091591958,-0.0
2023-12-25,43613.140625,43599.59141171977,0.1956213137188843,-1,43395.074921875,56697.082812500004,0.013879063861056418,0.013879063861056418,1.4835554687432522,1.247873141641236,0.013879063861056418
