Date,Actual Price,Predictions,Volume,SMA20,SMA50,Volatility,Signal,Position,Volume Adjusted Return,Volume Multiplier,Position Size,Adjusted Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2022-11-13,16353.365234375,16358.716604979814,0.5124307296115623,19535.349853515625,19434.85658203125,0.051113432715941196,1,0.0,-0.0,2.2,0.25,-0.0,0.8576504341197438,0.9816819746971621,-0.0
2022-11-14,16618.19921875,16620.501415229628,1.6781537000892024,19361.466943359374,19391.17861328125,0.050289518944976595,0,1.0,0.03562782077417901,2.2,0.25,0.008906955193544753,0.8715396231896143,0.9904257720601003,0.016194463988263186
2022-11-15,16884.61328125,16877.3506707405,1.0006517747184227,19167.175537109375,19344.41744140625,0.04967178097925547,0,0.0,0.0,2.2,0.25,0.0,0.8855116792822918,0.9904257720601003,0.0
2022-11-16,16669.439453125,16673.79943467147,0.8616282951931244,18986.355712890625,19295.59529296875,0.04956831777738932,0,0.0,-0.0,2.2,0.25,-0.0,0.874226911623908,0.9904257720601003,-0.0
2022-11-17,16687.517578125,16693.11880397563,0.5467316428244076,18790.964013671874,19240.81123046875,0.0493105255563075,0,0.0,0.0,2.2,0.25,0.0,0.8751750168935029,0.9904257720601003,0.0
2022-11-18,16697.77734375,16702.916169046202,0.4943912093177684,18584.929052734376,19183.30576171875,0.04914392589687438,0,0.0,0.0,2.2,0.25,0.0,0.8757130891689116,0.9904257720601003,0.0
2022-11-19,16711.546875,16707.99616307178,-0.0648379676001897,18388.726220703124,19128.90091796875,0.04920110599921467,0,0.0,0.0,2.0,0.25,0.0,0.8764352307150053,0.9904257720601003,0.0
2022-11-20,16291.83203125,16292.681553081618,0.2058941276206841,18178.529150390626,19068.49564453125,0.0493223509327723,0,0.0,-0.0,2.0,0.25,-0.0,0.854423332075817,0.9904257720601003,-0.0
2022-11-21,15787.2841796875,15789.001589849073,1.0438079682053176,17943.6296875,19003.3591796875,0.04947691549725239,0,0.0,-0.0,2.2,0.25,-0.0,0.8279623757084287,0.9904257720601003,-0.0
2022-11-22,16189.76953125,16178.880093785223,0.6953212702134548,17745.14296875,18934.68296875,0.050154833481416784,0,0.0,0.0,2.2,0.25,0.0,0.849070675532175,0.9904257720601003,0.0
2022-11-23,16610.70703125,16600.470491793338,0.8113705728819832,17565.17890625,18860.160234375,0.05072690103645514,0,0.0,0.0,2.2,0.25,0.0,0.8711466962433994,0.9904257720601003,0.0
2022-11-24,16604.46484375,16597.79005061325,0.4562714154956665,17338.040625,18789.0351953125,0.04911699561577397,0,0.0,-0.0,2.2,0.25,-0.0,0.8708193254091702,0.9904257720601003,-0.0
2022-11-25,16521.841796875,16520.9292284569,0.0688879771764335,17099.99814453125,18720.3631640625,0.048972488341340076,0,0.0,-0.0,2.0,0.25,-0.0,0.8664861688383325,0.9904257720601003,-0.0
2022-11-26,16464.28125,16466.28722371773,0.0336243287656809,16876.887890625,18658.711796875,0.048986150582249366,0,0.0,-0.0,2.0,0.25,-0.0,0.8634674123128105,0.9904257720601003,-0.0
2022-11-27,16444.626953125,16446.000061470942,0.1606878348112079,16668.97841796875,18599.27296875,0.0490175963946763,0,0.0,-0.0,2.0,0.25,-0.0,0.8624366448832586,0.9904257720601003,-0.0
2022-11-28,16217.322265625,16219.123270846872,0.540186388187294,16552.78095703125,18534.6908984375,0.04424081827703391,0,0.0,-0.0,2.2,0.25,-0.0,0.8505156756443374,0.9904257720601003,-0.0
2022-11-29,16444.982421875,16439.86312583708,0.3238286692331275,16580.991064453126,18480.760859375,0.030222393300825216,0,0.0,0.0,2.2,0.25,0.0,0.8624552874026047,0.9904257720601003,0.0
2022-11-30,17168.56640625,17157.855145019214,0.6327613938608769,16560.080810546875,18443.103828125,0.020292213295469354,0,0.0,0.0,2.2,0.5,0.0,0.9004035695712705,0.9904257720601003,0.0
