Date,change_tomorrow
2015-03-22,-0.4573746964717129
2015-03-23,-8.609698450120318
2015-03-24,0.24452165934593095
2015-03-25,0.9395134135115835
2015-03-26,-0.6084268164150197
2015-03-27,2.282058045423019
2015-03-28,-4.15511605080181
2015-03-29,1.944443622508485
2015-03-30,-1.3520382789277363
2015-03-31,1.232652346916896
2015-04-01,2.265963755001532
2015-04-02,0.5178479685337356
2015-04-03,-0.24635686849385774
2015-04-04,2.6481346484332646
2015-04-05,-1.9984921097348396
2015-04-06,-0.9131889507994151
2015-04-07,-3.3294926154715743
2015-04-08,-0.5523762410337252
2015-04-09,-3.2210463108424348
2015-04-10,0.20291340744357234
2015-04-11,-0.16895913894872105
2015-04-12,-5.149894683804779
2015-04-13,-2.4767447916159036
2015-04-14,2.0881622134226285
2015-04-15,2.073738164029326
